p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
273631,Nad Al Shiba First,50-0,,,,,,,,,,,,,,8226.25,6187567,Meydan,,Public Facilities
273637,Nad Al Shiba First,51-0,,,,,,,,,,,,,,3425.33,6187564,Meydan,,Public Facilities
307624,Nad Al Shiba First,62-0,,MEDYAN HOTEL,,,,,,,,,,,,644989.43,6188778,Meydan,,Public Facilities
12243150,Nad Al Shiba First,657-,,,,,,,,,,,,,,1383.11,6184138,Meydan,,
12283563,Nad Al Shiba First,658-,,,,,,,,,,,,,,1413.35,6183840,Meydan,,Public Facilities
12283565,Nad Al Shiba First,659-,,,,,,,,,,,,,,1413.44,6183841,Meydan,,Public Facilities
316000,Nad Al Shiba First,66-0,,MEYDAN AVENUE,,,,,,,,,,,,489615.51,6188782,Meydan,,Public Facilities
12283567,Nad Al Shiba First,660-,,,,,,,,,,,,,,1483.0,6183843,Meydan,,Public Facilities
12283569,Nad Al Shiba First,661-,,,,,,,,,,,,,,1454.8,6183842,Meydan,,Public Facilities
12283571,Nad Al Shiba First,662-,,,,,,,,,,,,,,1525.24,6183849,Meydan,,Public Facilities
12283573,Nad Al Shiba First,663-,,,,,,,,,,,,,,1521.43,6183848,Meydan,,Public Facilities
12283575,Nad Al Shiba First,664-,,,,,,,,,,,,,,1490.26,6183847,Meydan,,Public Facilities
12283577,Nad Al Shiba First,665-,,,,,,,,,,,,,,1490.16,6183844,Meydan,,Public Facilities
12283579,Nad Al Shiba First,666-,,,,,,,,,,,,,,1490.26,6183846,Meydan,,Public Facilities
12283581,Nad Al Shiba First,667-,,,,,,,,,,,,,,1490.23,6183845,Meydan,,Public Facilities
12283583,Nad Al Shiba First,668-,,,,,,,,,,,,,,1652.66,6183855,Meydan,,Public Facilities
12331622,Nad Al Shiba First,669-,,,,,,,,,,,,,,1329.3,6183862,Meydan,,
12331624,Nad Al Shiba First,670-,,,,,,,,,,,,,,1329.55,6183864,Meydan,,
12331626,Nad Al Shiba First,671-,,,,,,,,,,,,,,1329.52,6183865,Meydan,,
12331628,Nad Al Shiba First,672-,,,,,,,,,,,,,,1329.31,6183861,Meydan,,
12331630,Nad Al Shiba First,673-,,,,,,,,,,,,,,1329.62,6183866,Meydan,,
