p-number,location,unit,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
53083158,Wadi Al Safa 5,2510-,LA QUINTA-P12_176,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53083160,Wadi Al Safa 5,2511-,LA QUINTA-P12_177,,,,,,,,,,,,411.16,,,La Quinta,Commercial
53083162,Wadi Al Safa 5,2512-,LA QUINTA-P12_178,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53083164,Wadi Al Safa 5,2513-,LA QUINTA-P12_179,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53083166,Wadi Al Safa 5,2514-,LA QUINTA-P12_180,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53083168,Wadi Al Safa 5,2515-,LA QUINTA-P12_181,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53083170,Wadi Al Safa 5,2516-,LA QUINTA-P12_182,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53083172,Wadi Al Safa 5,2517-,LA QUINTA-P12_183,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53083174,Wadi Al Safa 5,2518-,LA QUINTA-P12_184,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53083176,Wadi Al Safa 5,2519-,LA QUINTA-P12_185,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53083178,Wadi Al Safa 5,2520-,LA QUINTA-P12_186,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53083180,Wadi Al Safa 5,2521-,LA QUINTA-P12_187,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53083182,Wadi Al Safa 5,2522-,LA QUINTA-P12_188,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53083184,Wadi Al Safa 5,2523-,LA QUINTA-P12_189,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53083186,Wadi Al Safa 5,2524-,LA QUINTA-P12_190,,,,,,,,,,,,391.4,,,La Quinta,Commercial
53083188,Wadi Al Safa 5,2525-,LA QUINTA-P13_001,,,,,,,,,,,,411.22,,,La Quinta,Commercial
53083190,Wadi Al Safa 5,2526-,LA QUINTA-P13_002,,,,,,,,,,,,411.99,,,La Quinta,Commercial
53083192,Wadi Al Safa 5,2527-,LA QUINTA-P13_003,,,,,,,,,,,,333.67,,,La Quinta,Commercial
53083194,Wadi Al Safa 5,2528-,LA QUINTA-P13_004,,,,,,,,,,,,409.64,,,La Quinta,Commercial
53083196,Wadi Al Safa 5,2529-,LA QUINTA-P13_005,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53083198,Wadi Al Safa 5,2530-,LA QUINTA-P13_006,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53083200,Wadi Al Safa 5,2531-,LA QUINTA-P13_007,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53088371,Wadi Al Safa 5,2532-,LA QUINTA-P13_058,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53088373,Wadi Al Safa 5,2533-,LA QUINTA-P13_059,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53088375,Wadi Al Safa 5,2534-,LA QUINTA-P13_060,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53088391,Wadi Al Safa 5,2535-,LA QUINTA-P13_061,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53088393,Wadi Al Safa 5,2536-,LA QUINTA-P13_062,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53088395,Wadi Al Safa 5,2537-,LA QUINTA-P13_063,,,,,,,,,,,,457.19,,,La Quinta,Commercial
53088397,Wadi Al Safa 5,2538-,LA QUINTA-P13_064,,,,,,,,,,,,456.75,,,La Quinta,Commercial
53088399,Wadi Al Safa 5,2539-,LA QUINTA-P13_065,,,,,,,,,,,,325.36,,,La Quinta,Commercial
53088401,Wadi Al Safa 5,2540-,LA QUINTA-P13_066,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53088403,Wadi Al Safa 5,2541-,LA QUINTA-P13_067,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53088405,Wadi Al Safa 5,2542-,LA QUINTA-P13_068,,,,,,,,,,,,325.21,,,La Quinta,Commercial
53088407,Wadi Al Safa 5,2543-,LA QUINTA-P13_069,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53088409,Wadi Al Safa 5,2544-,LA QUINTA-P13_070,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53088411,Wadi Al Safa 5,2545-,LA QUINTA-P13_071,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53088413,Wadi Al Safa 5,2546-,LA QUINTA-P13_072,,,,,,,,,,,,426.83,,,La Quinta,Commercial
53088415,Wadi Al Safa 5,2547-,LA QUINTA-P13_073,,,,,,,,,,,,382.62,,,La Quinta,Commercial
53088417,Wadi Al Safa 5,2548-,LA QUINTA-P13_074,,,,,,,,,,,,400.6,,,La Quinta,Commercial
53088419,Wadi Al Safa 5,2549-,LA QUINTA-P13_075,,,,,,,,,,,,325.34,,,La Quinta,Commercial
53088421,Wadi Al Safa 5,2550-,LA QUINTA-P13_076,,,,,,,,,,,,453.52,,,La Quinta,Commercial
53088423,Wadi Al Safa 5,2551-,LA QUINTA-P13_077,,,,,,,,,,,,401.02,,,La Quinta,Commercial
53088425,Wadi Al Safa 5,2552-,LA QUINTA-P13_078,,,,,,,,,,,,390.25,,,La Quinta,Commercial
53088427,Wadi Al Safa 5,2553-,LA QUINTA-P13_079,,,,,,,,,,,,466.85,,,La Quinta,Commercial
53088429,Wadi Al Safa 5,2554-,LA QUINTA-P13_080,,,,,,,,,,,,367.7,,,La Quinta,Commercial
53088431,Wadi Al Safa 5,2555-,LA QUINTA-P13_081,,,,,,,,,,,,357.71,,,La Quinta,Commercial
53088433,Wadi Al Safa 5,2556-,LA QUINTA-P13_082,,,,,,,,,,,,426.28,,,La Quinta,Commercial
53088435,Wadi Al Safa 5,2557-,LA QUINTA-P13_083,,,,,,,,,,,,411.27,,,La Quinta,Commercial
53088437,Wadi Al Safa 5,2558-,LA QUINTA-P13_084,,,,,,,,,,,,346.8,,,La Quinta,Commercial
53088439,Wadi Al Safa 5,2559-,LA QUINTA-P13_085,,,,,,,,,,,,518.69,,,La Quinta,Commercial
53088441,Wadi Al Safa 5,2560-,LA QUINTA-P13_086,,,,,,,,,,,,417.49,,,La Quinta,Commercial
53088443,Wadi Al Safa 5,2561-,LA QUINTA-P13_087,,,,,,,,,,,,350.49,,,La Quinta,Commercial
53088445,Wadi Al Safa 5,2562-,LA QUINTA-P13_088,,,,,,,,,,,,445.36,,,La Quinta,Commercial
53088447,Wadi Al Safa 5,2563-,LA QUINTA-P13_089,,,,,,,,,,,,460.68,,,La Quinta,Commercial
53088449,Wadi Al Safa 5,2564-,LA QUINTA-P13_090,,,,,,,,,,,,385.5,,,La Quinta,Commercial
53088451,Wadi Al Safa 5,2565-,LA QUINTA-P13_091,,,,,,,,,,,,547.33,,,La Quinta,Commercial
53088453,Wadi Al Safa 5,2566-,LA QUINTA-P13_092,,,,,,,,,,,,382.13,,,La Quinta,Commercial
53088455,Wadi Al Safa 5,2567-,LA QUINTA-P13_093,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53088457,Wadi Al Safa 5,2568-,LA QUINTA-P13_094,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53088459,Wadi Al Safa 5,2569-,LA QUINTA-P13_095,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53088461,Wadi Al Safa 5,2570-,LA QUINTA-P13_096,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53088464,Wadi Al Safa 5,2571-,LA QUINTA-P13_097,,,,,,,,,,,,325.06,,,La Quinta,Commercial
53088466,Wadi Al Safa 5,2572-,LA QUINTA-P13_098,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53088468,Wadi Al Safa 5,2573-,LA QUINTA-P13_099,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53088470,Wadi Al Safa 5,2574-,LA QUINTA-P13_100,,,,,,,,,,,,382.04,,,La Quinta,Commercial
53088472,Wadi Al Safa 5,2575-,LA QUINTA-P13_101,,,,,,,,,,,,381.96,,,La Quinta,Commercial
53088474,Wadi Al Safa 5,2576-,LA QUINTA-P13_102,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53088476,Wadi Al Safa 5,2577-,LA QUINTA-P13_103,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53088478,Wadi Al Safa 5,2578-,LA QUINTA-P13_104,,,,,,,,,,,,324.94,,,La Quinta,Commercial
53088480,Wadi Al Safa 5,2579-,LA QUINTA-P13_105,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53088482,Wadi Al Safa 5,2580-,LA QUINTA-P13_106,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53094192,Wadi Al Safa 5,2581-,LA QUINTA-P13_107,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53094214,Wadi Al Safa 5,2582-,LA QUINTA-P13_108,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53094216,Wadi Al Safa 5,2583-,LA QUINTA-P13_109,,,,,,,,,,,,382.01,,,La Quinta,Commercial
53094218,Wadi Al Safa 5,2584-,LA QUINTA-P13_110,,,,,,,,,,,,522.0,,,La Quinta,Commercial
53094220,Wadi Al Safa 5,2585-,LA QUINTA-P13_111,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53094222,Wadi Al Safa 5,2586-,LA QUINTA-P13_112,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53094224,Wadi Al Safa 5,2587-,LA QUINTA-P13_113,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53094226,Wadi Al Safa 5,2588-,LA QUINTA-P13_114,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53094228,Wadi Al Safa 5,2589-,LA QUINTA-P13_115,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53094230,Wadi Al Safa 5,2590-,LA QUINTA-P13_116,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53094232,Wadi Al Safa 5,2591-,LA QUINTA-P13_117,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53094234,Wadi Al Safa 5,2592-,LA QUINTA-P13_118,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53094236,Wadi Al Safa 5,2593-,LA QUINTA-P13_119,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53094238,Wadi Al Safa 5,2594-,LA QUINTA-P13_120,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53094240,Wadi Al Safa 5,2595-,LA QUINTA-P13_121,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53094242,Wadi Al Safa 5,2596-,LA QUINTA-P13_122,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53094244,Wadi Al Safa 5,2597-,LA QUINTA-P13_123,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53094246,Wadi Al Safa 5,2598-,LA QUINTA-P13_124,,,,,,,,,,,,518.89,,,La Quinta,Commercial
53094248,Wadi Al Safa 5,2599-,LA QUINTA-P13_125,,,,,,,,,,,,517.6,,,La Quinta,Commercial
53094250,Wadi Al Safa 5,2600-,LA QUINTA-P13_126,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53094252,Wadi Al Safa 5,2601-,LA QUINTA-P13_127,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53094254,Wadi Al Safa 5,2602-,LA QUINTA-P13_128,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53094256,Wadi Al Safa 5,2603-,LA QUINTA-P13_129,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53094258,Wadi Al Safa 5,2604-,LA QUINTA-P13_130,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53094260,Wadi Al Safa 5,2605-,LA QUINTA-P13_131,,,,,,,,,,,,597.62,,,La Quinta,Commercial
53094262,Wadi Al Safa 5,2606-,LA QUINTA-P13_132,,,,,,,,,,,,409.52,,,La Quinta,Commercial
53094264,Wadi Al Safa 5,2607-,LA QUINTA-P13_133,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53094266,Wadi Al Safa 5,2608-,LA QUINTA-P13_134,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53094268,Wadi Al Safa 5,2609-,LA QUINTA-P13_135,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53094270,Wadi Al Safa 5,2610-,LA QUINTA-P13_136,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53094272,Wadi Al Safa 5,2611-,LA QUINTA-P13_137,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53094274,Wadi Al Safa 5,2612-,LA QUINTA-P13_138,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53094276,Wadi Al Safa 5,2613-,LA QUINTA-P13_139,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53094278,Wadi Al Safa 5,2614-,LA QUINTA-P13_140,,,,,,,,,,,,455.7,,,La Quinta,Commercial
53094280,Wadi Al Safa 5,2615-,LA QUINTA-P13_141,,,,,,,,,,,,455.7,,,La Quinta,Commercial
53094282,Wadi Al Safa 5,2616-,LA QUINTA-P13_142,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53094284,Wadi Al Safa 5,2617-,LA QUINTA-P13_143,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53094286,Wadi Al Safa 5,2618-,LA QUINTA-P13_144,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53094288,Wadi Al Safa 5,2619-,LA QUINTA-P13_145,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53094290,Wadi Al Safa 5,2620-,LA QUINTA-P13_146,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53094292,Wadi Al Safa 5,2621-,LA QUINTA-P13_147,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53094294,Wadi Al Safa 5,2622-,LA QUINTA-P13_148,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53094296,Wadi Al Safa 5,2623-,LA QUINTA-P13_149,,,,,,,,,,,,409.52,,,La Quinta,Commercial
53094298,Wadi Al Safa 5,2624-,LA QUINTA-P13_150,,,,,,,,,,,,600.85,,,La Quinta,Commercial
53094300,Wadi Al Safa 5,2625-,LA QUINTA-P13_151,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53094302,Wadi Al Safa 5,2626-,LA QUINTA-P13_152,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53094304,Wadi Al Safa 5,2627-,LA QUINTA-P13_153,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53094306,Wadi Al Safa 5,2628-,LA QUINTA-P13_154,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53094308,Wadi Al Safa 5,2629-,LA QUINTA-P13_155,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53098183,Wadi Al Safa 5,2630-,LA QUINTA-P13_156,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53098185,Wadi Al Safa 5,2631-,LA QUINTA-P13_157,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53098187,Wadi Al Safa 5,2632-,LA QUINTA-P13_158,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53098189,Wadi Al Safa 5,2633-,LA QUINTA-P13_159,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53098191,Wadi Al Safa 5,2634-,LA QUINTA-P13_160,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53098193,Wadi Al Safa 5,2635-,LA QUINTA-P13_161,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53098195,Wadi Al Safa 5,2636-,LA QUINTA-P13_162,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53098197,Wadi Al Safa 5,2637-,LA QUINTA-P13_163,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53098199,Wadi Al Safa 5,2638-,LA QUINTA-P13_164,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53098201,Wadi Al Safa 5,2639-,LA QUINTA-P13_165,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53098203,Wadi Al Safa 5,2640-,LA QUINTA-P13_166,,,,,,,,,,,,456.78,,,La Quinta,Commercial
53098205,Wadi Al Safa 5,2641-,LA QUINTA-P13_167,,,,,,,,,,,,517.55,,,La Quinta,Commercial
53098207,Wadi Al Safa 5,2642-,LA QUINTA-P13_168,,,,,,,,,,,,451.2,,,La Quinta,Commercial
53098209,Wadi Al Safa 5,2643-,LA QUINTA-P13_169,,,,,,,,,,,,366.6,,,La Quinta,Commercial
53098211,Wadi Al Safa 5,2644-,LA QUINTA-P13_170,,,,,,,,,,,,366.6,,,La Quinta,Commercial
53098213,Wadi Al Safa 5,2645-,LA QUINTA-P13_171,,,,,,,,,,,,451.2,,,La Quinta,Commercial
53098215,Wadi Al Safa 5,2646-,LA QUINTA-P13_172,,,,,,,,,,,,451.2,,,La Quinta,Commercial
53098217,Wadi Al Safa 5,2647-,LA QUINTA-P13_173,,,,,,,,,,,,451.2,,,La Quinta,Commercial
53098219,Wadi Al Safa 5,2648-,LA QUINTA-P13_174,,,,,,,,,,,,366.6,,,La Quinta,Commercial
53098221,Wadi Al Safa 5,2649-,LA QUINTA-P13_175,,,,,,,,,,,,451.2,,,La Quinta,Commercial
53098223,Wadi Al Safa 5,2650-,LA QUINTA-P13_176,,,,,,,,,,,,450.85,,,La Quinta,Commercial
53098225,Wadi Al Safa 5,2651-,LA QUINTA-P13_177,,,,,,,,,,,,363.96,,,La Quinta,Commercial
53098227,Wadi Al Safa 5,2652-,LA QUINTA-P13_178,,,,,,,,,,,,440.21,,,La Quinta,Commercial
53098229,Wadi Al Safa 5,2653-,LA QUINTA-P13_179,,,,,,,,,,,,426.03,,,La Quinta,Commercial
53098231,Wadi Al Safa 5,2654-,LA QUINTA-P13_180,,,,,,,,,,,,399.45,,,La Quinta,Commercial
53098233,Wadi Al Safa 5,2655-,LA QUINTA-P13_181,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53098235,Wadi Al Safa 5,2656-,LA QUINTA-P13_182,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53098237,Wadi Al Safa 5,2657-,LA QUINTA-P13_183,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53098239,Wadi Al Safa 5,2658-,LA QUINTA-P13_184,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53098241,Wadi Al Safa 5,2659-,LA QUINTA-P13_185,,,,,,,,,,,,559.23,,,La Quinta,Commercial
53098243,Wadi Al Safa 5,2660-,LA QUINTA-P13_186,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53098245,Wadi Al Safa 5,2661-,LA QUINTA-P13_187,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53098247,Wadi Al Safa 5,2662-,LA QUINTA-P13_188,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53098249,Wadi Al Safa 5,2663-,LA QUINTA-P13_189,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53098251,Wadi Al Safa 5,2664-,LA QUINTA-P13_190,,,,,,,,,,,,554.5,,,La Quinta,Commercial
53098253,Wadi Al Safa 5,2665-,LA QUINTA-P13_191,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53098255,Wadi Al Safa 5,2666-,LA QUINTA-P13_192,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53098257,Wadi Al Safa 5,2667-,LA QUINTA-P13_193,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53098259,Wadi Al Safa 5,2668-,LA QUINTA-P13_194,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53098261,Wadi Al Safa 5,2669-,LA QUINTA-P13_195,,,,,,,,,,,,514.0,,,La Quinta,Commercial
53098263,Wadi Al Safa 5,2670-,LA QUINTA-P13_196,,,,,,,,,,,,528.9,,,La Quinta,Commercial
53098265,Wadi Al Safa 5,2671-,LA QUINTA-P13_197,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53098267,Wadi Al Safa 5,2672-,LA QUINTA-P13_198,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53098269,Wadi Al Safa 5,2673-,LA QUINTA-P13_199,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53098271,Wadi Al Safa 5,2674-,LA QUINTA-P13_200,,,,,,,,,,,,416.13,,,La Quinta,Commercial
53098273,Wadi Al Safa 5,2675-,LA QUINTA-P13_201,,,,,,,,,,,,429.64,,,La Quinta,Commercial
53098275,Wadi Al Safa 5,2676-,LA QUINTA-P13_202,,,,,,,,,,,,435.74,,,La Quinta,Commercial
53098277,Wadi Al Safa 5,2677-,LA QUINTA-P13_203,,,,,,,,,,,,349.35,,,La Quinta,Commercial
53098279,Wadi Al Safa 5,2678-,LA QUINTA-P13_204,,,,,,,,,,,,431.55,,,La Quinta,Commercial
53100096,Wadi Al Safa 5,2679-,LA QUINTA-P13_205,,,,,,,,,,,,422.86,,,La Quinta,Commercial
53100098,Wadi Al Safa 5,2680-,LA QUINTA-P13_206,,,,,,,,,,,,334.05,,,La Quinta,Commercial
53100100,Wadi Al Safa 5,2681-,LA QUINTA-P13_207,,,,,,,,,,,,331.0,,,La Quinta,Commercial
53100102,Wadi Al Safa 5,2682-,LA QUINTA-P13_208,,,,,,,,,,,,408.22,,,La Quinta,Commercial
53100114,Wadi Al Safa 5,2683-,LA QUINTA-P13_209,,,,,,,,,,,,403.32,,,La Quinta,Commercial
53100116,Wadi Al Safa 5,2684-,LA QUINTA-P13_210,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53100118,Wadi Al Safa 5,2685-,LA QUINTA-P13_211,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53100120,Wadi Al Safa 5,2686-,LA QUINTA-P13_212,,,,,,,,,,,,462.5,,,La Quinta,Commercial
53100122,Wadi Al Safa 5,2687-,LA QUINTA-P13_213,,,,,,,,,,,,462.5,,,La Quinta,Commercial
53100124,Wadi Al Safa 5,2688-,LA QUINTA-P13_214,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53100126,Wadi Al Safa 5,2689-,LA QUINTA-P13_215,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53100128,Wadi Al Safa 5,2690-,LA QUINTA-P13_216,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53100130,Wadi Al Safa 5,2691-,LA QUINTA-P13_217,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53100132,Wadi Al Safa 5,2692-,LA QUINTA-P13_218,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53100134,Wadi Al Safa 5,2693-,LA QUINTA-P13_219,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53100136,Wadi Al Safa 5,2694-,LA QUINTA-P13_220,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53100138,Wadi Al Safa 5,2695-,LA QUINTA-P13_221,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53100140,Wadi Al Safa 5,2696-,LA QUINTA-P13_222,,,,,,,,,,,,462.0,,,La Quinta,Commercial
53100142,Wadi Al Safa 5,2697-,LA QUINTA-P13_223,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53100144,Wadi Al Safa 5,2698-,LA QUINTA-P13_224,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53100146,Wadi Al Safa 5,2699-,LA QUINTA-P13_225,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53100148,Wadi Al Safa 5,2700-,LA QUINTA-P13_226,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53100150,Wadi Al Safa 5,2701-,LA QUINTA-P13_227,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53100152,Wadi Al Safa 5,2702-,LA QUINTA-P13_228,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53100154,Wadi Al Safa 5,2703-,LA QUINTA-P13_229,,,,,,,,,,,,325.1,,,La Quinta,Commercial
53100156,Wadi Al Safa 5,2704-,LA QUINTA-P13_230,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53100158,Wadi Al Safa 5,2705-,LA QUINTA-P13_231,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53100160,Wadi Al Safa 5,2706-,LA QUINTA-P13_232,,,,,,,,,,,,449.9,,,La Quinta,Commercial
53100162,Wadi Al Safa 5,2707-,LA QUINTA-P13_233,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53100164,Wadi Al Safa 5,2708-,LA QUINTA-P13_234,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53100166,Wadi Al Safa 5,2709-,LA QUINTA-P13_235,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53100168,Wadi Al Safa 5,2710-,LA QUINTA-P13_236,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53100170,Wadi Al Safa 5,2711-,LA QUINTA-P13_237,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53100172,Wadi Al Safa 5,2712-,LA QUINTA-P13_238,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53100174,Wadi Al Safa 5,2713-,LA QUINTA-P13_239,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53100176,Wadi Al Safa 5,2714-,LA QUINTA-P13_240,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53100178,Wadi Al Safa 5,2715-,LA QUINTA-P13_241,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53100180,Wadi Al Safa 5,2716-,LA QUINTA-P13_242,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53100182,Wadi Al Safa 5,2717-,LA QUINTA-P13_243,,,,,,,,,,,,478.42,,,La Quinta,Commercial
147694794,Wadi Al Safa 5,2787-,,,,,,,,,,,,,692069.82,,,La Quinta,Commercial
147694796,Wadi Al Safa 5,2788-,,,,,,,,,,,,,692069.82,,,La Quinta,Commercial
169980163,Wadi Al Safa 5,2802-,VILLANOVA-PA-15,,,,,,,,,,,,111045.11,,,La Quinta,Commercial
170963480,Wadi Al Safa 5,2804-,PA_12,,,,,,,,,,,,186209.63,,,La Quinta,Commercial
177839577,Wadi Al Safa 5,3177-,VN.P13.001,,,,,,,,,,,,437.39,6486114,,La Quinta,Commercial
177839579,Wadi Al Safa 5,3178-,VN.P13.002,,,,,,,,,,,,346.86,6486116,,La Quinta,Commercial
177839581,Wadi Al Safa 5,3179-,VN.P13.003,,,,,,,,,,,,346.72,6483181,,La Quinta,Commercial
177839583,Wadi Al Safa 5,3180-,VN.P13.004,,,,,,,,,,,,345.93,6486100,,La Quinta,Commercial
177839585,Wadi Al Safa 5,3181-,VN.P13.005,,,,,,,,,,,,339.32,6483029,,La Quinta,Commercial
177839587,Wadi Al Safa 5,3182-,VN.P13.006,,,,,,,,,,,,325.0,6480379,,La Quinta,Commercial
177839589,Wadi Al Safa 5,3183-,VN.P13.007,,,,,,,,,,,,325.0,6480313,,La Quinta,Commercial
177839591,Wadi Al Safa 5,3184-,VN.P13.008,,,,,,,,,,,,324.99,6483050,,La Quinta,Commercial
177839593,Wadi Al Safa 5,3185-,VN.P13.009,,,,,,,,,,,,325.0,6480399,,La Quinta,Commercial
177839595,Wadi Al Safa 5,3186-,VN.P13.010,,,,,,,,,,,,324.99,6480339,,La Quinta,Commercial
177839597,Wadi Al Safa 5,3187-,VN.P13.011,,,,,,,,,,,,325.0,6480381,,La Quinta,Commercial
177839599,Wadi Al Safa 5,3188-,VN.P13.012,,,,,,,,,,,,325.0,6483084,,La Quinta,Commercial
177839601,Wadi Al Safa 5,3189-,VN.P13.013,,,,,,,,,,,,555.73,6489391,,La Quinta,Commercial
177839603,Wadi Al Safa 5,3190-,VN.P13.014,,,,,,,,,,,,538.02,6486212,,La Quinta,Commercial
177839605,Wadi Al Safa 5,3191-,VN.P13.015,,,,,,,,,,,,324.99,6483027,,La Quinta,Commercial
177839607,Wadi Al Safa 5,3192-,VN.P13.016,,,,,,,,,,,,325.0,6483365,,La Quinta,Commercial
177839609,Wadi Al Safa 5,3193-,VN.P13.017,,,,,,,,,,,,324.99,6480326,,La Quinta,Commercial
