p-number,location,unit,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
53050404,Wadi Al Safa 5,2337-,LA QUINTA-P12_051,,,,,,,,,,,,443.28,,,La Quinta,Commercial
53050406,Wadi Al Safa 5,2338-,LA QUINTA-P12_052,,,,,,,,,,,,445.84,,,La Quinta,Commercial
53050418,Wadi Al Safa 5,2339-,LA QUINTA-P12_053,,,,,,,,,,,,448.4,,,La Quinta,Commercial
53050420,Wadi Al Safa 5,2340-,LA QUINTA-P12_054,,,,,,,,,,,,578.73,,,La Quinta,Commercial
53050422,Wadi Al Safa 5,2341-,LA QUINTA-P12_055,,,,,,,,,,,,518.2,,,La Quinta,Commercial
53050424,Wadi Al Safa 5,2342-,LA QUINTA-P12_056,,,,,,,,,,,,453.41,,,La Quinta,Commercial
53050426,Wadi Al Safa 5,2343-,LA QUINTA-P12_057,,,,,,,,,,,,446.63,,,La Quinta,Commercial
53050428,Wadi Al Safa 5,2344-,LA QUINTA-P12_058,,,,,,,,,,,,439.84,,,La Quinta,Commercial
53050430,Wadi Al Safa 5,2345-,LA QUINTA-P12_059,,,,,,,,,,,,433.05,,,La Quinta,Commercial
53050432,Wadi Al Safa 5,2346-,LA QUINTA-P12_060,,,,,,,,,,,,346.86,,,La Quinta,Commercial
53050434,Wadi Al Safa 5,2347-,LA QUINTA-P12_061,,,,,,,,,,,,342.38,,,La Quinta,Commercial
53050436,Wadi Al Safa 5,2348-,LA QUINTA-P12_062,,,,,,,,,,,,337.9,,,La Quinta,Commercial
53050438,Wadi Al Safa 5,2349-,LA QUINTA-P12_063,,,,,,,,,,,,375.26,,,La Quinta,Commercial
53050440,Wadi Al Safa 5,2350-,LA QUINTA-P12_064,,,,,,,,,,,,507.24,,,La Quinta,Commercial
53050442,Wadi Al Safa 5,2351-,LA QUINTA-P12_065,,,,,,,,,,,,417.25,,,La Quinta,Commercial
53050444,Wadi Al Safa 5,2352-,LA QUINTA-P12_066,,,,,,,,,,,,344.16,,,La Quinta,Commercial
53050446,Wadi Al Safa 5,2353-,LA QUINTA-P12_067,,,,,,,,,,,,348.77,,,La Quinta,Commercial
53050448,Wadi Al Safa 5,2354-,LA QUINTA-P12_068,,,,,,,,,,,,435.58,,,La Quinta,Commercial
53050450,Wadi Al Safa 5,2355-,LA QUINTA-P12_069,,,,,,,,,,,,442.56,,,La Quinta,Commercial
53050452,Wadi Al Safa 5,2356-,LA QUINTA-P12_070,,,,,,,,,,,,449.55,,,La Quinta,Commercial
53050454,Wadi Al Safa 5,2357-,LA QUINTA-P12_071,,,,,,,,,,,,370.4,,,La Quinta,Commercial
53050456,Wadi Al Safa 5,2358-,LA QUINTA-P12_072,,,,,,,,,,,,462.2,,,La Quinta,Commercial
53050458,Wadi Al Safa 5,2359-,LA QUINTA-P12_073,,,,,,,,,,,,570.37,,,La Quinta,Commercial
53050460,Wadi Al Safa 5,2360-,LA QUINTA-P12_074,,,,,,,,,,,,468.25,,,La Quinta,Commercial
53050462,Wadi Al Safa 5,2361-,LA QUINTA-P12_075,,,,,,,,,,,,462.57,,,La Quinta,Commercial
53050464,Wadi Al Safa 5,2362-,LA QUINTA-P12_076,,,,,,,,,,,,452.47,,,La Quinta,Commercial
53050466,Wadi Al Safa 5,2363-,LA QUINTA-P12_077,,,,,,,,,,,,442.36,,,La Quinta,Commercial
53050468,Wadi Al Safa 5,2364-,LA QUINTA-P12_078,,,,,,,,,,,,432.26,,,La Quinta,Commercial
53050470,Wadi Al Safa 5,2365-,LA QUINTA-P12_079,,,,,,,,,,,,395.16,,,La Quinta,Commercial
53050472,Wadi Al Safa 5,2366-,LA QUINTA-P12_080,,,,,,,,,,,,395.16,,,La Quinta,Commercial
53050474,Wadi Al Safa 5,2367-,LA QUINTA-P12_081,,,,,,,,,,,,432.43,,,La Quinta,Commercial
53050476,Wadi Al Safa 5,2368-,LA QUINTA-P12_082,,,,,,,,,,,,442.64,,,La Quinta,Commercial
53050478,Wadi Al Safa 5,2369-,LA QUINTA-P12_083,,,,,,,,,,,,452.86,,,La Quinta,Commercial
53050480,Wadi Al Safa 5,2370-,LA QUINTA-P12_084,,,,,,,,,,,,463.08,,,La Quinta,Commercial
53050482,Wadi Al Safa 5,2371-,LA QUINTA-P12_085,,,,,,,,,,,,452.87,,,La Quinta,Commercial
53050484,Wadi Al Safa 5,2372-,LA QUINTA-P12_086,,,,,,,,,,,,454.55,,,La Quinta,Commercial
53050486,Wadi Al Safa 5,2373-,LA QUINTA-P12_087,,,,,,,,,,,,332.1,,,La Quinta,Commercial
53050488,Wadi Al Safa 5,2374-,LA QUINTA-P12_089,,,,,,,,,,,,329.09,,,La Quinta,Commercial
53050490,Wadi Al Safa 5,2375-,LA QUINTA-P12_090,,,,,,,,,,,,459.58,,,La Quinta,Commercial
53050492,Wadi Al Safa 5,2376-,LA QUINTA-P12_091,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53050494,Wadi Al Safa 5,2377-,LA QUINTA-P12_092,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53050496,Wadi Al Safa 5,2378-,LA QUINTA-P12_093,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53050498,Wadi Al Safa 5,2379-,LA QUINTA-P12_094,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53050500,Wadi Al Safa 5,2380-,LA QUINTA-P12_095,,,,,,,,,,,,489.03,,,La Quinta,Commercial
53050502,Wadi Al Safa 5,2381-,LA QUINTA-P12_096,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53050504,Wadi Al Safa 5,2382-,LA QUINTA-P12_097,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53050506,Wadi Al Safa 5,2383-,LA QUINTA-P12_098,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53050508,Wadi Al Safa 5,2384-,LA QUINTA-P12_099,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53061376,Wadi Al Safa 5,2385-,LA QUINTA-P13_008,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53061378,Wadi Al Safa 5,2386-,LA QUINTA-P13_009,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53061380,Wadi Al Safa 5,2387-,LA QUINTA-P13_010,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53061509,Wadi Al Safa 5,2388-,LA QUINTA-P13_011,,,,,,,,,,,,325.0,,,La Quinta,Commercial
