p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
139720094,Madinat Al Mataar,493-,Parklane Residence 3,,508,12.11,1,0.16,5,2 B/R,,,,,,101.63,,Dubai World Central,Parklane Residence,Government Authorities
139720188,Madinat Al Mataar,493-,Parklane Residence 3,,509,5.85,1,0.15,5,2 B/R,,,,,,97.34,,Dubai World Central,Parklane Residence,Government Authorities
139720282,Madinat Al Mataar,493-,Parklane Residence 3,,510,6.15,1,0.1,5,1 B/R,,,,,,62.13,,Dubai World Central,Parklane Residence,Government Authorities
139720376,Madinat Al Mataar,493-,Parklane Residence 3,,511,6.15,1,0.1,5,1 B/R,,,,,,61.93,,Dubai World Central,Parklane Residence,Government Authorities
139720470,Madinat Al Mataar,493-,Parklane Residence 3,,512,7.28,1,0.1,5,1 B/R,,,,,,62.7,,Dubai World Central,Parklane Residence,Government Authorities
139720564,Madinat Al Mataar,493-,Parklane Residence 3,,513,3.39,1,0.05,5,Studio,,,,,,34.71,,Dubai World Central,Parklane Residence,Government Authorities
139720658,Madinat Al Mataar,493-,Parklane Residence 3,,514,3.35,1,0.06,5,Studio,,,,,,35.84,,Dubai World Central,Parklane Residence,Government Authorities
139720752,Madinat Al Mataar,493-,Parklane Residence 3,,515,6.0,1,0.15,5,2 B/R,,,,,,98.02,,Dubai World Central,Parklane Residence,Government Authorities
139720846,Madinat Al Mataar,493-,Parklane Residence 3,,516,6.15,1,0.1,5,1 B/R,,,,,,62.23,,Dubai World Central,Parklane Residence,Government Authorities
139720940,Madinat Al Mataar,493-,Parklane Residence 3,,517,12.11,1,0.16,5,2 B/R,,,,,,101.33,,Dubai World Central,Parklane Residence,Government Authorities
139708938,Madinat Al Mataar,493-,Parklane Residence 2,,1002,5.67,1,0.1,10,1 B/R,,,,,,62.1,,Dubai World Central,Parklane Residence,Government Authorities
139709032,Madinat Al Mataar,493-,Parklane Residence 2,,1003,5.67,1,0.1,10,1 B/R,,,,,,62.1,,Dubai World Central,Parklane Residence,Government Authorities
139709126,Madinat Al Mataar,493-,Parklane Residence 2,,1004,5.27,2,0.21,10,3 B/R,,,,,,135.92,,Dubai World Central,Parklane Residence,Government Authorities
139709220,Madinat Al Mataar,493-,Parklane Residence 2,,1005,5.67,1,0.15,10,2 B/R,,,,,,98.83,,Dubai World Central,Parklane Residence,Government Authorities
139709314,Madinat Al Mataar,493-,Parklane Residence 2,,1006,11.22,1,0.16,10,2 B/R,,,,,,101.96,,Dubai World Central,Parklane Residence,Government Authorities
139709408,Madinat Al Mataar,493-,Parklane Residence 2,,1007,11.22,1,0.16,10,2 B/R,,,,,,101.96,,Dubai World Central,Parklane Residence,Government Authorities
139709502,Madinat Al Mataar,493-,Parklane Residence 2,,1008,5.85,1,0.15,10,2 B/R,,,,,,97.34,,Dubai World Central,Parklane Residence,Government Authorities
139709596,Madinat Al Mataar,493-,Parklane Residence 2,,1009,6.15,1,0.1,10,1 B/R,,,,,,62.12,,Dubai World Central,Parklane Residence,Government Authorities
139709690,Madinat Al Mataar,493-,Parklane Residence 2,,1010,6.15,1,0.1,10,1 B/R,,,,,,61.94,,Dubai World Central,Parklane Residence,Government Authorities
