p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
33410947,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,G05,13.05,1,0.3,G,2 B/R,,,,,,110.78,,,RUKAN,
33410951,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,G06,2.74,1,0.2,G,1 B/R,,,,,,73.98,,,RUKAN,
33410955,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,G07,9.56,1,0.19,G,1 B/R,,,,,,69.7,,,RUKAN,
33410959,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,G08,9.56,1,0.19,G,1 B/R,,,,,,69.7,,,RUKAN,
33410963,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,G09,4.64,1,0.16,G,1 B/R,,,,,,61.1,,,RUKAN,
33410967,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,G10,4.64,1,0.16,G,1 B/R,,,,,,61.14,,,RUKAN,
33410971,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,G11,9.59,1,0.19,G,1 B/R,,,,,,69.69,,,RUKAN,
33410975,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,G12,9.59,1,0.19,G,1 B/R,,,,,,69.69,,,RUKAN,
33410979,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,101,2.74,1,0.2,1,1 B/R,,,,,,73.98,,,RUKAN,
33410983,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,102,13.05,1,0.3,1,2 B/R,,,,,,110.78,,,RUKAN,
33410987,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,103,9.56,1,0.2,1,1 B/R,,,,,,74.26,,,RUKAN,
33410991,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,104,8.19,1,0.12,1,,,,,,,43.46,,,RUKAN,
33410995,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,105,12.59,1,0.2,1,1 B/R,,,,,,76.37,,,RUKAN,
33411007,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,108,13.05,1,0.3,1,2 B/R,,,,,,110.78,,,RUKAN,
33410421,Wadi Al Safa 7,2807-,RUKAN BUILDING 1,,A-611,0.0,1,0.21,6,1 B/R,,,,,,72.89,,,RUKAN,
33410425,Wadi Al Safa 7,2807-,RUKAN BUILDING 1,,A-612,0.0,1,0.2,6,1 B/R,,,,,,67.46,,,RUKAN,
33410429,Wadi Al Safa 7,2807-,RUKAN BUILDING 1,,A-613,14.95,1,0.21,6,1 B/R,,,,,,70.9,,,RUKAN,
33410433,Wadi Al Safa 7,2807-,RUKAN BUILDING 1,,A-614,15.44,1,0.21,6,1 B/R,,,,,,73.37,,,RUKAN,
33410437,Wadi Al Safa 7,2807-,RUKAN BUILDING 1,,A-615,0.0,1,0.2,6,1 B/R,,,,,,69.64,,,RUKAN,
33410482,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,G01,2.74,1,0.2,G,1 B/R,,,,,,73.98,,,RUKAN,
33410486,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,G02,13.05,1,0.3,G,2 B/R,,,,,,110.78,,,RUKAN,
33410490,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,G03,13.05,1,0.3,G,2 B/R,,,,,,110.89,,,RUKAN,
33410494,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,G04,13.05,1,0.3,G,2 B/R,,,,,,110.89,,,RUKAN,
33410498,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,G05,13.05,1,0.3,G,2 B/R,,,,,,110.78,,,RUKAN,
33410502,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,G06,2.74,1,0.2,G,1 B/R,,,,,,73.98,,,RUKAN,
33410506,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,G07,9.56,1,0.19,G,1 B/R,,,,,,69.7,,,RUKAN,
33410510,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,G08,9.56,1,0.19,G,1 B/R,,,,,,69.7,,,RUKAN,
