p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
51417220,Wadi Al Safa 5,3894-,,,,,,0.0,2.0,4 B/R,,,,,,440.65,6486207,,Villanova Amaranta ,Commercial
185925964,Wadi Al Safa 5,3894-,,,,,,,,,,,,,,440.51,6486207,,Villanova Amaranta ,Commercial
51456260,Wadi Al Safa 5,3895-,,,,,,0.0,2.0,3 B/R,,,,,,192.52,6486485,,Villanova Amaranta ,Commercial
51456382,Wadi Al Safa 5,3895-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486485,,Villanova Amaranta ,Commercial
51456504,Wadi Al Safa 5,3895-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486485,,Villanova Amaranta ,Commercial
51456626,Wadi Al Safa 5,3895-,,,,,,0.0,2.0,3 B/R,,,,,,192.95,6486485,,Villanova Amaranta ,Commercial
51456748,Wadi Al Safa 5,3895-,,,,,,0.0,2.0,3 B/R,,,,,,177.93,6486485,,Villanova Amaranta ,Commercial
51456870,Wadi Al Safa 5,3895-,,,,,,0.0,2.0,3 B/R,,,,,,177.73,6486485,,Villanova Amaranta ,Commercial
51455528,Wadi Al Safa 5,3895-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486485,,Villanova Amaranta ,Commercial
185925966,Wadi Al Safa 5,3895-,,,,,,,,,,,,,,4507.2,6486485,,Villanova Amaranta ,Commercial
51455040,Wadi Al Safa 5,3895-,,,,,,0.0,2.0,3 B/R,,,,,,148.32,6486485,,Villanova Amaranta ,Commercial
51455162,Wadi Al Safa 5,3895-,,,,,,0.0,2.0,3 B/R,,,,,,176.42,6486485,,Villanova Amaranta ,Commercial
51455284,Wadi Al Safa 5,3895-,,,,,,0.0,2.0,3 B/R,,,,,,191.57,6486485,,Villanova Amaranta ,Commercial
51455406,Wadi Al Safa 5,3895-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486485,,Villanova Amaranta ,Commercial
51455650,Wadi Al Safa 5,3895-,,,,,,0.0,2.0,3 B/R,,,,,,190.51,6486485,,Villanova Amaranta ,Commercial
51455772,Wadi Al Safa 5,3895-,,,,,,0.0,2.0,3 B/R,,,,,,176.41,6486485,,Villanova Amaranta ,Commercial
51455894,Wadi Al Safa 5,3895-,,,,,,0.0,2.0,3 B/R,,,,,,177.77,6486485,,Villanova Amaranta ,Commercial
51456016,Wadi Al Safa 5,3895-,,,,,,0.0,2.0,3 B/R,,,,,,149.32,6486485,,Villanova Amaranta ,Commercial
51456138,Wadi Al Safa 5,3895-,,,,,,0.0,2.0,3 B/R,,,,,,177.89,6486485,,Villanova Amaranta ,Commercial
185925968,Wadi Al Safa 5,3896-,,,,,,,,,,,,,,4327.05,6486486,,Villanova Amaranta ,Commercial
51454674,Wadi Al Safa 5,3896-,,,,,,0.0,2.0,3 B/R,,,,,,194.11,6486486,,Villanova Amaranta ,Commercial
